Section,Details
Hostname,DESKTOP-CR0J628
IP Address,172.24.192.1
OS,Windows 11
Architecture,64bit
CPU Cores,12
RAM (GB),15.77

Users,"Aashoo, Administrator, DefaultAccount, Guest, WDAGUtilityAccount"
Potential Weak Users,"Administrator, Guest"

Open Ports for 172.24.192.1,

Device 172.24.192.1,
